suite,operation,engine,index_type,metric,wal,num_base,k,concurrency,scenario,selectivity,ops,throughput_ops_sec,recall_at_k,mean_ms,p50_ms,p95_ms,p99_ms,failed
key_value,put,key-value,,,False,1000000,0,16,,-1.0,1000000,61691.06355620608,-1.0,0.252433068561164,0.21579999884124845,0.44287000491749495,0.6929800001671538,0
key_value,get,key-value,,,False,1000000,0,1,,-1.0,1000000,12214.268811256847,-1.0,0.08090278576182026,0.07323999307118356,0.11314000585116446,0.16431999392807484,0
key_value,get,key-value,,,False,1000000,0,2,,-1.0,1000000,20345.91000419293,-1.0,0.09710063340938359,0.08267999510280788,0.1786600041668862,0.2934990043286234,0
key_value,get,key-value,,,False,1000000,0,4,,-1.0,1000000,23361.561489890042,-1.0,0.1689326541954215,0.1620499970158562,0.24234999727923423,0.31228001171257347,0
key_value,get,key-value,,,False,1000000,0,8,,-1.0,1000000,38744.49575636928,-1.0,0.20292955238236754,0.18617000023368746,0.31978001061361283,0.4575299972202629,0
key_value,get,key-value,,,False,1000000,0,16,,-1.0,1000000,62594.083954850816,-1.0,0.2494574626651447,0.22139999782666564,0.42648900125641376,0.6144100043457001,0
key_value,delete,key-value,,,False,1000000,0,16,,-1.0,1000000,43445.761063991486,-1.0,0.36144018793567373,0.23960000544320792,0.47058000927791,0.6989300018176436,0
key_value,put,key-value,,,True,1000000,0,16,,-1.0,1000000,599.8945937302046,-1.0,26.660628603429302,26.249165006447583,31.78652598580811,35.861737007508054,0
key_value,get,key-value,,,True,1000000,0,1,,-1.0,1000000,9694.67368650659,-1.0,0.10185254319115483,0.07470999844372272,0.24738999491091818,0.3789400070672855,0
key_value,get,key-value,,,True,1000000,0,2,,-1.0,1000000,18329.770447634037,-1.0,0.10773009064604412,0.08844000694807619,0.21702000231016427,0.3656499902717769,0
key_value,get,key-value,,,True,1000000,0,4,,-1.0,1000000,21920.188462424547,-1.0,0.17981418583993217,0.17076100630220026,0.26869999419432133,0.3697299980558455,0
key_value,get,key-value,,,True,1000000,0,8,,-1.0,1000000,38015.92715217178,-1.0,0.20673227102210512,0.19079000048805028,0.32880100479815155,0.46344099973794073,0
key_value,get,key-value,,,True,1000000,0,16,,-1.0,1000000,61610.87240245613,-1.0,0.2527855420411506,0.22755999816581607,0.4296400002203882,0.5988799966871738,0
key_value,delete,key-value,,,True,1000000,0,16,,-1.0,1000000,613.6170057193133,-1.0,26.064820615510236,25.717984986840747,30.727543999091722,34.31011700013187,0
