suite,operation,engine,index_type,metric,wal,num_base,k,concurrency,scenario,selectivity,ops,throughput_ops_sec,recall_at_k,mean_ms,p50_ms,p95_ms,p99_ms,failed
vector_search,insert,vector,HNSW8,L2,False,1000000,0,16,,-1.0,1000000,21506.35971937622,-1.0,0.6829277152088834,0.44532000174513087,1.3881400009267963,4.804069998499472,0
vector_search,search,vector,HNSW8,L2,False,1000000,10,1,,-1.0,10000,1609.756844150245,0.64686,0.5904206317689387,0.5662600015057251,0.7981300004757941,0.9834699958446436,0
vector_search,search,vector,HNSW8,L2,False,1000000,10,2,,-1.0,10000,2137.2782136274654,0.64686,0.8562853876894223,0.825169998279307,1.1477799998829141,1.3657800009241328,0
vector_search,search,vector,HNSW8,L2,False,1000000,10,4,,-1.0,10000,3821.1669094661884,0.64686,0.8207160741723782,0.7732999947620556,1.1912299960386008,1.3906800013501197,0
vector_search,search,vector,HNSW8,L2,False,1000000,10,8,,-1.0,10000,4676.111526925791,0.64686,0.9400477441995463,0.8988900008262135,1.312389998929575,1.5558699960820377,0
vector_search,search,vector,HNSW8,L2,False,1000000,10,16,,-1.0,10000,3858.606447734816,0.64686,1.353628247276356,1.2804500001948327,2.072041002975311,2.671650996489916,0
vector_search,insert,vector,HNSW8,L2,True,1000000,0,16,,-1.0,1000000,542.9209810699417,-1.0,29.43276384615086,29.989804002980236,37.819664998096414,40.59114599658642,0
vector_search,search,vector,HNSW8,L2,True,1000000,10,1,,-1.0,10000,1472.213334952835,0.64702,0.648010708844231,0.6168199979583733,0.9163200011244044,1.0801690004882403,0
vector_search,search,vector,HNSW8,L2,True,1000000,10,2,,-1.0,10000,2262.9733110430866,0.64702,0.8079463356589258,0.7879099939600565,1.0562499955995008,1.253139998880215,0
vector_search,search,vector,HNSW8,L2,True,1000000,10,4,,-1.0,10000,4012.8020278610184,0.64702,0.7800137327343691,0.7368700025836006,1.115869999921415,1.3138900030753575,0
vector_search,search,vector,HNSW8,L2,True,1000000,10,8,,-1.0,10000,4729.508972219221,0.64702,0.9402470637942315,0.9010899957502261,1.3048000037088059,1.5426399986608885,0
vector_search,search,vector,HNSW8,L2,True,1000000,10,16,,-1.0,10000,3940.8480178540135,0.64702,1.3383091685929684,1.2632500001927838,2.0483210028032772,2.5666199944680557,0
